,codpro,codfor,estoque,min_dt_estoque
760,025858,00447,2.0,2017-04-13
761,025866,00447,3.0,2017-04-13
762,026919,00446,1.0,2017-08-12
763,026961,04279,1.0,2017-09-27
764,026963,04279,1.0,2017-08-26
765,025966,00123,3.0,2017-04-26
766,025932,00256,1.0,2017-04-26
767,027049,00573,1.0,2017-08-15
768,027073,00253,7.0,2017-08-15
769,025972,00123,11.0,2017-04-26
770,025974,00123,9.0,2017-04-26
771,026034,00447,1.0,2017-05-04
772,026036,00447,1.0,2017-05-04
773,027205,00256,1.0,2017-08-22
774,027209,00445,1.0,2017-08-23
775,026128,00397,1.0,2017-05-26
776,027317,00422,1.0,2017-08-25
777,027323,00422,1.0,2017-08-25
778,026152,01652,3.0,2017-06-07
779,027379,00445,12.0,2017-08-28
780,027509,00419,2.0,2017-09-11
781,027547,00124,1.0,2017-09-11
782,026380,00171,5.0,2017-06-14
783,026382,00171,3.0,2017-06-14
784,026388,00171,4.0,2017-06-14
785,027609,00417,1.0,2017-09-11
786,027613,00417,8.0,2017-09-11
787,026444,01652,1.0,2017-06-29
788,026450,00446,1.0,2017-06-26
789,027693,00171,3.0,2017-09-25
790,027699,00527,3.0,2017-09-28
791,027751,00589,1.0,2017-10-03
792,027823,00573,1.0,2017-09-27
793,027841,03115,1.0,2017-09-25
794,027861,00265,1.0,2017-10-02
795,027863,00265,2.0,2017-10-02
796,028017,00616,6.0,2017-10-19
797,028013,00616,2.0,2017-10-19
798,028027,00616,1.0,2017-10-19
799,028035,00616,7.0,2017-10-19
800,028051,00616,4.0,2017-10-19
801,028123,00427,2.0,2017-10-31
802,026554,00451,2.0,2017-07-05
803,026568,00451,1.0,2017-07-05
804,026574,00451,4.0,2017-07-05
805,026664,00446,2.0,2017-07-17
806,026690,00527,1.0,2017-08-18
807,026724,00451,1.0,2017-07-25
808,026762,00427,2.0,2017-08-01
809,028325,01652,4.0,2018-10-17
810,026766,00427,1.0,2017-08-01
811,026878,00446,2.0,2017-08-12
812,026906,00446,1.0,2017-08-12
813,026948,00253,2.0,2017-08-11
814,026962,04279,4.0,2017-08-26
815,026964,04279,1.0,2017-08-26
816,027024,00573,3.0,2017-08-15
817,027034,00573,1.0,2017-08-15
818,027098,03115,1.0,2017-08-24
819,027158,00445,7.0,2017-08-23
820,027164,00445,1.0,2017-08-23
821,027178,00445,2.0,2017-08-23
822,027180,00445,11.0,2017-08-23
823,027216,00445,1.0,2017-08-23
824,027308,00445,2.0,2017-08-23
825,027318,00422,4.0,2017-08-25
826,027330,00338,2.0,2017-08-29
827,027348,00445,1.0,2017-08-28
828,027402,00445,1.0,2017-08-28
829,027404,00445,10.0,2017-08-28
830,027406,00445,14.0,2017-08-28
831,027464,00265,1.0,2017-08-31
832,028599,00589,4.0,2017-12-12
833,028605,00589,4.0,2017-12-12
834,027490,00419,2.0,2017-09-11
835,027506,00419,5.0,2017-09-11
836,027508,00419,2.0,2017-09-11
837,027510,00419,2.0,2017-09-11
838,027530,02927,4.0,2021-03-29
839,027542,00417,1.0,2017-09-08
840,027548,00124,2.0,2017-09-11
841,028701,00446,1.0,2017-12-16
842,028707,00446,3.0,2017-12-16
843,028715,00274,90.0,2017-12-21
844,028765,00463,3.0,2017-12-26
845,027664,01652,1.0,2017-09-18
846,028881,00265,3.0,2018-01-02
847,028889,00171,2.0,2018-01-04
848,028901,00442,5.0,2018-01-15
849,027692,00171,2.0,2017-09-25
850,027700,00527,4.0,2017-09-28
851,027702,00444,14.0,2017-09-30
852,027784,00198,3.0,2017-09-23
853,027814,04845,2.0,2017-09-21
854,027820,00573,1.0,2017-09-27
855,029033,01652,1.0,2018-02-19
856,027824,00573,1.0,2017-09-27
857,027840,03115,4.0,2017-09-25
858,027860,00265,2.0,2017-10-02
859,027908,00417,1.0,2017-10-05
860,027984,00449,1.0,2017-10-17
861,029189,00444,1.0,2018-11-14
862,029195,00444,4.0,2018-11-01
863,029197,00444,1.0,2018-10-16
