,codpro,codfor,estoque,min_dt_estoque
7907,085933,03921,7.0,2024-03-27
7908,085957,02722,1.0,2024-03-27
7909,085961,02722,2.0,2024-03-27
7910,085967,00589,10.0,2024-03-28
7911,091909,04794,1.0,2025-03-05
7912,091923,04794,3.0,2025-03-05
7915,092029,04807,3.0,2025-03-12
7916,092055,06331,5.0,2024-11-18
7917,092067,04794,3.0,2025-01-10
7918,092073,04794,2.0,2025-03-05
7919,092075,04794,1.0,2025-03-05
7920,086085,01148,3.0,2024-04-01
7921,086091,01148,10.0,2024-04-01
7922,086093,01148,2.0,2024-04-01
7923,086111,00182,6.0,2025-02-18
7924,086119,02530,3.0,2024-10-23
7925,092099,00265,5.0,2024-10-27
7928,086155,04845,8.0,2024-04-16
7929,086157,04845,4.0,2024-04-12
7930,086161,04845,5.0,2024-04-16
7931,092301,04794,2.0,2025-03-05
7934,086183,04845,32.0,2024-05-03
7935,086187,04845,30.0,2024-06-13
7936,086189,04845,18.0,2024-05-03
7937,086195,04845,14.0,2024-06-13
7938,086197,04845,14.0,2024-06-13
7939,086201,03488,3.0,2024-10-24
7948,086225,02722,6.0,2024-04-08
7949,086233,00520,56.0,2024-12-26
7951,092425,02932,12.0,2025-02-21
7952,086249,00527,6.0,2024-12-02
7953,086257,00895,4.0,2024-09-12
7954,092461,04794,2.0,2025-02-15
7956,086289,00261,2.0,2024-11-05
7957,086309,00124,4.0,2024-04-25
7958,092513,04794,1.0,2025-02-15
7959,092521,04794,1.0,2025-03-05
7960,092533,04794,2.0,2025-02-15
7961,092549,04845,2.0,2025-02-18
7964,086369,00261,2.0,2024-12-20
7965,086415,02722,1.0,2024-04-16
7966,086445,00444,4.0,2024-10-23
7967,086469,00285,5.0,2024-05-22
7977,092671,00895,2.0,2025-03-14
7982,092723,04845,2.0,2025-02-19
7987,092765,00395,14.0,2024-12-23
7988,092773,00261,2.0,2024-10-22
7994,092849,02916,2.0,2024-11-29
7995,086645,05177,4.0,2024-05-02
7999,092919,00440,2.0,2025-01-30
8000,092943,04845,2.0,2025-02-18
8001,092955,00124,2.0,2024-12-07
8002,093001,00124,2.0,2024-12-04
8003,086717,05177,2.0,2024-05-02
8004,086743,00417,4.0,2024-07-23
8005,093011,01404,8.0,2024-12-10
8009,086769,02530,3.0,2024-10-23
8010,086787,02530,3.0,2024-10-23
8011,086799,02530,3.0,2025-01-23
8012,086825,03574,1.0,2024-06-11
8013,086827,02722,3.0,2024-04-22
8014,093059,00256,11.0,2024-11-11
8016,093087,00256,11.0,2024-11-11
8017,086851,02530,2.0,2024-10-23
8018,086853,02530,3.0,2024-10-23
8019,086855,02530,1.0,2024-10-23
8020,086979,02932,28.0,2024-05-29
8021,087021,06331,42.0,2024-07-16
8022,093323,04794,3.0,2025-01-10
8023,093383,00449,6.0,2024-12-02
8024,093385,04794,1.0,2025-02-15
8025,093393,04794,1.0,2025-02-15
8026,093395,04794,1.0,2025-02-15
8028,087147,06332,8.0,2024-09-25
8029,087183,06332,10.0,2024-08-22
8030,087227,06331,4.0,2024-07-16
8031,087239,06331,4.0,2024-07-16
8032,093481,00520,4.0,2024-11-29
8033,093501,00449,6.0,2024-12-02
8034,093503,00449,4.0,2024-12-02
8035,087263,06332,4.0,2024-10-27
8036,087277,06332,10.0,2024-09-05
8037,087279,06332,9.0,2024-08-22
8038,093523,04279,4.0,2025-01-16
8039,093527,00461,78.0,2024-11-29
8040,093529,00461,50.0,2024-11-29
8041,087293,06331,6.0,2024-07-19
8042,087299,06332,6.0,2024-09-14
8043,087317,06331,8.0,2024-07-16
8047,087431,06331,3.0,2024-07-19
8048,093659,02530,6.0,2024-12-10
8049,093661,00395,4.0,2025-02-01
8050,093665,00395,6.0,2025-02-01
8051,093667,00395,6.0,2025-02-01
8052,093669,00395,6.0,2025-02-01
8053,093671,00395,5.0,2025-02-25
8054,093673,00395,6.0,2025-02-01
8056,087461,06331,4.0,2024-09-06
8057,087475,06331,8.0,2024-07-16
8058,087493,06331,4.0,2024-09-14
8059,087507,06331,6.0,2024-07-16
8065,093773,00493,6.0,2025-03-01
8067,093779,06331,4.0,2024-12-12
8069,093797,00463,6.0,2025-01-04
8075,093849,04469,2.0,2025-03-07
8079,093861,00395,6.0,2025-02-25
8080,093863,00395,12.0,2025-02-25
8081,093867,00395,12.0,2025-02-01
8082,093869,00395,12.0,2025-02-25
8083,093871,00395,8.0,2025-02-25
8084,093881,06368,20.0,2024-12-11
8085,087671,06332,6.0,2024-07-24
8087,087697,06332,8.0,2024-07-24
8088,093939,00468,6.0,2024-12-27
8089,093941,00468,6.0,2024-12-27
