Cliente;grupo;tipo;tamanho;desconto ;skus_sem1;skus_sem2;skus_sem3;fat_sem1;fat_sem2;fat_sem3;marg_sem1;marg_sem2;marg_sem3;;;;;
027526;;Varejo;Grande;;;;;;;;;;;;;;;
027536;;Varejo;Grande;;;;;;;;;;;;;;;
027552;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027557;;Autocentro;Grande;;;;;;;;;;;;;;;
027560;;Autocentro;Grande;;;;;;;;;;;;;;;
027566;;Varejo;Grande;;;;;;;;;;;;;;;
027600;;Varejo;Grande;;;;;;;;;;;;;;;
027620;;Varejo;Grande;;;;;;;;;;;;;;;
027621;;Varejo;Grande;;;;;;;;;;;;;;;
027665;;Varejo;Grande;;;;;;;;;;;;;;;
027695;;Autocentro;Grande;;;;;;;;;;;;;;;
027697;;Varejo;Grande;;;;;;;;;;;;;;;
027718;;Autocentro;Grande;;;;;;;;;;;;;;;
027741;;Autocentro;Grande;;;;;;;;;;;;;;;
027766;;Autocentro;Grande;;;;;;;;;;;;;;;
027773;;Varejo;Grande;;;;;;;;;;;;;;;
027780;;Varejo;Grande;;;;;;;;;;;;;;;
027784;;Não qualificado;;;;;;;;;;;;;;;;
027814;;Varejo;Grande;;;;;;;;;;;;;;;
027985;;Autocentro;Grande;;;;;;;;;;;;;;;
027991;;Varejo;Grande;;;;;;;;;;;;;;;
028000;;Varejo;Pequeno;;;;;;;;;;;;;;;
028004;;Autocentro;Grande;;;;;;;;;;;;;;;
028018;;Autocentro;Grande;;;;;;;;;;;;;;;
028019;;Varejo;Pequeno;;;;;;;;;;;;;;;
028021;;Varejo;Pequeno;;;;;;;;;;;;;;;
028024;;Autocentro;Grande;;;;;;;;;;;;;;;
028028;;Autocentro;Grande;;;;;;;;;;;;;;;
028029;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028030;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028034;;Autocentro;Grande;;;;;;;;;;;;;;;
028037;;Autocentro;Grande;;;;;;;;;;;;;;;
028039;;Autocentro;Grande;;;;;;;;;;;;;;;
028042;;Varejo;Grande;;;;;;;;;;;;;;;
028044;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028045;;Varejo;Pequeno;;;;;;;;;;;;;;;
028046;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028050;;Varejo;Grande;;;;;;;;;;;;;;;
028053;;Autocentro;Grande;;;;;;;;;;;;;;;
028056;;Varejo;Pequeno;;;;;;;;;;;;;;;
028065;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028068;;Varejo;Pequeno;;;;;;;;;;;;;;;
028075;;Autocentro;Grande;;;;;;;;;;;;;;;
028078;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028174;;Varejo;Pequeno;;;;;;;;;;;;;;;
028177;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028220;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028250;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028280;;Varejo;Pequeno;;;;;;;;;;;;;;;
028283;;Autocentro;Grande;;;;;;;;;;;;;;;
028299;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028308;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028312;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028319;;Varejo;Pequeno;;;;;;;;;;;;;;;
028324;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028337;;Varejo;Pequeno;;;;;;;;;;;;;;;
028349;;Varejo;Pequeno;;;;;;;;;;;;;;;
028350;;Autocentro;Grande;;;;;;;;;;;;;;;
028381;;Varejo;Grande;;;;;;;;;;;;;;;
028383;;Autocentro;Grande;;;;;;;;;;;;;;;
028399;;Varejo;Pequeno;;;;;;;;;;;;;;;
028424;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028442;;Autocentro;Grande;;;;;;;;;;;;;;;
028455;;Varejo;Grande;;;;;;;;;;;;;;;
028469;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028477;;Varejo;Grande;;;;;;;;;;;;;;;
028496;;Autocentro;Grande;;;;;;;;;;;;;;;
028500;;Varejo;Pequeno;;;;;;;;;;;;;;;
028537;;Varejo;Pequeno;;;;;;;;;;;;;;;
028701;;Varejo;Grande;;;;;;;;;;;;;;;
028865;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028868;;Autocentro;Pequeno;;;;;;;;;;;;;;;
028870;;Varejo;Pequeno;;;;;;;;;;;;;;;
029443;;Autocentro;Pequeno;;;;;;;;;;;;;;;
029466;;Varejo;Pequeno;;;;;;;;;;;;;;;
029622;;Varejo;Pequeno;;;;;;;;;;;;;;;
029832;;Autocentro;Grande;;;;;;;;;;;;;;;
029841;;Autocentro;Pequeno;;;;;;;;;;;;;;;
029863;;Autocentro;Pequeno;;;;;;;;;;;;;;;
029987;;Autocentro;Pequeno;;;;;;;;;;;;;;;
I0100;;Autocentro;Grande;;;;;;;;;;;;;;;
I0637;;Autocentro;Pequeno;;;;;;;;;;;;;;;
I0693;;Autocentro;Pequeno;;;;;;;;;;;;;;;
I0836;;Autocentro;Pequeno;;;;;;;;;;;;;;;
I0909;;Autocentro;Grande;;;;;;;;;;;;;;;
I0927;;Não qualificado;;;;;;;;;;;;;;;;
I0951;;Autocentro;Pequeno;;;;;;;;;;;;;;;
I1518;;Autocentro;Grande;;;;;;;;;;;;;;;
I1519;;Autocentro;Grande;;;;;;;;;;;;;;;
I1520;;Autocentro;Grande;;;;;;;;;;;;;;;
I1522;;Autocentro;Grande;;;;;;;;;;;;;;;
I1524;;Varejo;Grande;;;;;;;;;;;;;;;
I1527;;Autocentro;Grande;;;;;;;;;;;;;;;
I1531;;Varejo;Grande;;;;;;;;;;;;;;;
I1532;;Não qualificado;;;;;;;;;;;;;;;;
I1536;;Autocentro;Grande;;;;;;;;;;;;;;;
I1538;;Varejo;Grande;;;;;;;;;;;;;;;
I1540;;Varejo;Grande;;;;;;;;;;;;;;;
I1554;;Varejo;Grande;;;;;;;;;;;;;;;
I1555;;Varejo;Grande;;;;;;;;;;;;;;;
I1561;;Varejo;Grande;;;;;;;;;;;;;;;
I1563;;Autocentro;Grande;;;;;;;;;;;;;;;
I1566;;Varejo;Grande;;;;;;;;;;;;;;;
I1573;;Varejo;Grande;;;;;;;;;;;;;;;
I1574;;Autocentro;Grande;;;;;;;;;;;;;;;
I1612;;Varejo;Grande;;;;;;;;;;;;;;;
I1618;;Varejo;Grande;;;;;;;;;;;;;;;
I1621;;Autocentro;Grande;;;;;;;;;;;;;;;
I1626;;Autocentro;Grande;;;;;;;;;;;;;;;
I1630;;Varejo;Grande;;;;;;;;;;;;;;;
I1636;;Varejo;Grande;;;;;;;;;;;;;;;
I1638;;Varejo;Grande;;;;;;;;;;;;;;;
I1640;;Autocentro;Grande;;;;;;;;;;;;;;;
I1668;;Autocentro;Grande;;;;;;;;;;;;;;;
I1705;;Autocentro;Pequeno;;;;;;;;;;;;;;;
I1723;;Autocentro;Grande;;;;;;;;;;;;;;;
I1734;;Varejo;Grande;;;;;;;;;;;;;;;
I1736;;Autocentro;Grande;;;;;;;;;;;;;;;
I1776;;Autocentro;Grande;;;;;;;;;;;;;;;
I1830;;Varejo;Grande;;;;;;;;;;;;;;;
I1833;;Autocentro;Grande;;;;;;;;;;;;;;;
I1835;;Varejo;Grande;;;;;;;;;;;;;;;
I1849;;Autocentro;Pequeno;;;;;;;;;;;;;;;
